Legislation,Offence
MENTAL HEALTH (NORTHERN IRELAND) ORDER 1986 ARTICLE. 119(1) ,"Having document to which Article 119 of this act applies, knowing or believing it to be false"
MENTAL HEALTH (NORTHERN IRELAND) ORDER 1986 ARTICLE. 119(2) ,Having document closely resembling document to which Article 119 of this act applies as to be calculated to deceive
MENTAL HEALTH  (NORTHERN IRELAND) ORDER 1986 ARTICLE. 119(4),Making false entry in document under this Act or making use of any such entry with intent to deceive
MENTAL HEALTH (NORTHERN IRELAND) ORDER 1986 ARTICLE. 119(4),Making false statement in document under this Act or making use of any such statement with intent to deceive
MENTAL HEALTH (NORTHERN IRELAND) ORDER 1986 ART.120(1),Knowingly receiving and detailing otherwise in accordance with this Order a person suffering from a mental disorder
MENTAL HEALTH (NORTHERN IRELAND) ORDER 1986 ART.120(2),"Exercising any power of detention in relation to a patient, or any other power conferred on him by or under this Order, after having knowledge that the power had expired"
MENTAL HEALTH (NORTHERN IRELAND) ORDER 1986 ARTICLE. 121(1)(A),Hospital staff ill-treating mental patient - being treated as an inpatient
MENTAL HEALTH (NORTHERN IRELAND) ORDER 1986 ARTICLE. 121(1)(B),Hospital staff ill-treating mental patient - being treated as an outpatient
MENTAL HEALTH (NORTHERN IRELAND) ORDER 1986 ARTICLE. 121(1)(A),Hospital staff wilfully neglecting mental patient -  being treated as an inpatient
MENTAL HEALTH (NORTHERN IRELAND) ORDER 1986 ARTICLE.121(1)(B),Hospital staff wilfully neglecting mental patient -  being treated as an outpatient
MENTAL HEALTH (NORTHERN IRELAND 0RDER 1986 ARTICLE. 121 (2),Guardian or person with custody or care of a mental patient ill-treating mental patient
MENTAL HEALTH (NORTHERN IRELAND) ORDER 1986 ARTICLE.121(2) ,Guardian  or person with custody or care of  a mental patient wilfully neglecting mental patient
MENTAL HEALTH (NORTHERN IRELAND) ORDER 1986 ART.122(1)(A),Having unlawful sexual intercourse with a women suffering from severe mental handicap 
MENTAL HEALTH (NORTHERN IRELAND) ORDER 1986 ART.122(1)(B),Procuring any women suffering from severe mental handicap to have unlawful sexual intercourse with a man / men
MENTAL HEALTH (NORTHERN IRELAND) ORDER 1986 ART.122(1)(C),Causing/encouraging prostitution of a women suffering from severe mental handicap
MENTAL HEALTH (NORTHERN IRELAND) ORDER 1986 ART.122(1)(D),Owning or occupying premises or being involved in managing or controlling premises and inducing a woman suffering from a severe mental handicap to be in them for the purpose of having unlawful sexual intercourse with a man / men 
MENTAL HEALTH (NORTHERN IRELAND) ORDER 1986 ART.122(1)(E),"Take or cause a women suffering from a severe mental handicap out of the possession of a parent or other person having the lawful care of them, with intent that the woman has unlawful sexual intercourse with a man / men"
MENTAL HEALTH (NORTHERN IRELAND) ORDER 1986 ARTICLE.123 ,Unlawful sexual intercourse with a woman receiving treatment for mental disorder in hospital or nursing home by employees/board members of the hospital or persons carrying on the hospital/nursing home
MENTAL HEALTH (NORTHERN IRELAND) ORDER 1986 ARTICLE. 124(1(A)),Assisting absence  without leave from mental institution
MENTAL HEALTH (NORTHERN IRELAND) ORDER 1986 ARTICLE.124(1)(B),Assisting escape from mental institution
MENTAL HEALTH (NORTHERN IRELAND) ORDER 1986 ARTICLE. 124(2),Harbouring escaped patient from mental institution
MENTAL HEALTH (NORTHERN IRELAND) ORDER 1986 ARTICLE. 125(1)(A) ,Obstructing inspection of premises
MENTAL HEALTH (NORTHERN IRELAND) ORDER 1986 ARTICLE .125(1)(B),"Obstruction - refusing authorised  visiting, interviewing or examinations"
MENTAL HEALTH (NORTHERN IRELAND ) ORDER 1986 ARTICLE .125(1)(C),Obstruction - refusing to produce for inspection documents or records
"MENTAL HEALTH (CARE AND TREATMENT) (SCOTLAND) ACT 2003, SECTION 311",Non-consensual sexual acts 
"MENTAL HEALTH (CARE AND TREATMENT) (SCOTLAND) ACT 2003, SECTION 313",Sexual offences by persons providing care services to mentally disordered persons 
MENTAL HEALTH (NORTHERN IRELAND) ORDER 1986 ARTICLE. 125(1)(D),Obstruction of any authorised person exercising their functions
MERCHANT SHIPPING ACT 1970  S.27,Conduct by master of/ seaman employed on a UK ship causing/likely to cause the loss /destruction of or serious damage to his ship
MERCHANT SHIPPING ACT 1970  S.27,Conduct by master of/ seaman employed on a UK ship causing/likely to cause the loss /destruction of or serious damage to any other ship or structure
MERCHANT SHIPPING ACT 1970  S.27,Conduct by master of/seaman employed on a UK ship causing/likely to cause the death of/ serious injury to any person
MERCHANT SHIPPING ACT  1995 S.58,Conduct by master of/ seaman employed on a UK ship causing/likely to cause the loss/destruction of or serious damage to his ship
MERCHANT SHIPPING ACT  1995 S.58,Conduct by master of/ seamen employed on a UK ship causing/likely to cause the loss/destruction of/serious damage to any other ship or structure
MERCHANT SHIPPING ACT 1995  S.58,Conduct by master of/ seaman employed on a UK ship causing/likely to cause the death of/serious injury to any person
MISUSE OF DRUGS ACT 1971  (MD71) S4(2),Production of drug
MISUSE OF DRUGS ACT 1971 (MD71) S.4(3),Supplying controlled drug - class A
MISUSE OF DRUGS ACT 1971 (MD71) S.4(3),Supplying controlled drug - class B - other
MISUSE OF DRUGS ACT 1971 (MD71) S.4(3),Supplying controlled drug - class C
MISUSE OF DRUGS ACT 1971 (MD71) S.4(3),Supplying controlled drug - class not specified
MISUSE OF DRUGS ACT 1971 (MD71) S.4(3),Offering to supply controlled drug - class A
MISUSE OF DRUGS ACT 1971 (MD71) S.4(3),Offering to supply controlled drug - class A - cocaine
MISUSE OF DRUGS ACT 1971 (MD71) S.4(3),Offering to supply controlled drug - class A - heroin
MISUSE OF DRUGS ACT 1971 (MD71) S.4(3),Offering to supply controlled drug - class A - lSD
MISUSE OF DRUGS ACT 1971 (MD71) S.4(3),Offering to supply controlled drug - class A - MDMA
MISUSE OF DRUGS ACT 1971 (MD71) S.4(3),Offering to supply controlled drug - class A - other
MISUSE OF DRUGS ACT 1971 (MD71) S.4(3),Offering to supply controlled drug - class B
MISUSE OF DRUGS ACT 1971 (MD71) S.4(3),Supplying controlled drug - class a - cocaine
MISUSE OF DRUGS ACT 1971 (MD71) S.4(3),Offering to supply controlled drug - class B - amphetamine
MISUSE OF DRUGS ACT 1971 (MD71) S.4(3),Offering to supply controlled drug - class B - cannabis
MISUSE OF DRUGS ACT 1971 (MD71) S.4(3),Offering to supply controlled drug - class B - other
MISUSE OF DRUGS ACT 1971 (MD71) S.4(3),Offering to supply controlled drug - class C
MISUSE OF DRUGS ACT 1971 (MD71) S.4(3),Offering to supply controlled drug - class not specified
MISUSE OF DRUGS ACT 1971 (MD71) S.4(3),Being concerned in supplying controlled drug - class A
MISUSE OF DRUGS ACT 1971 (MD71) S.4(3),Being concerned in supplying controlled drug - class A - cocaine
MISUSE OF DRUGS ACT 1971 (MD71) S.4(3),Being concerned in supplying controlled drug - class A - heroin
MISUSE OF DRUGS ACT 1971 (MD71) S.4(3),Being concerned in supplying controlled drug - class A - ISD
MISUSE OF DRUGS ACT 1971 (MD71) S.4(3),Being concerned in supplying controlled drug - class A - MDMA
MISUSE OF DRUGS ACT 1971 (MD71) S.4(3),Supplying controlled drug - class A - heroin
MISUSE OF DRUGS ACT 1971 (MD71) S.4(3),Being concerned in supplying controlled drug - class A - other
MISUSE OF DRUGS ACT 1971 (MD71) S.4(3),Supplying controlled drug - class A - ISD
MISUSE OF DRUGS ACT 1971 (MD71) S.4(3),Supplying controlled drug - class A - MDMA
MISUSE OF DRUGS ACT 1971 (MD71) S.4(3),Supplying controlled drug - class A - other
MISUSE OF DRUGS ACT 1971 (MD71) S.4(3),Supply hydroxy-n-butric acid (GBH)
MISUSE OF DRUGS ACT 1971 (MD71) S.4(3),Offer to supply hydroxy-n-butric acid
MISUSE OF DRUGS ACT 1971 (MD71) S.4(3),Concerned in supply of hydroxy-n-butric acid (GBH)
MISUSE OF DRUGS ACT 1971 (MD71) S.4(3),Concerned in offer to supply hydroxy-n-butric acid (GBH)
MISUSE OF DRUGS ACT 1971 (MD71) S.4(3),Supplying controlled drug - class B
MISUSE OF DRUGS ACT 1971 (MD71) S.4(3),Supply hydroxy-n-butyric acid
MISUSE OF DRUGS ACT 1971 (MD71) S.4(3),Offer to supply hydroxy-n-butyric acid (GBH)
MISUSE OF DRUGS ACT 1971 (MD71) S.4(3),Supplying controlled drug - class B - amphetamine
MISUSE OF DRUGS ACT 1971 (MD71) S.4(3),Concerned in supply of hydroxy-n-butyric acid (GBH)
MISUSE OF DRUGS ACT 1971 (MD71) S.4(3),Concerned in offer to supply hydroxy-n-butyric acid (GBH)
MISUSE OF DRUGS ACT 1971 (MD71) S.4(3),Supplying controlled drug - class B - cannabis
MISUSE OF DRUGS ACT 1971 (MD71) S.4(3)(A),Produce methyl amphetamine a class A controlled drug
MISUSE OF DRUGS ACT 1971 (MD71) S.4(3)(A),Concerned in production of methyl amphetamine a class A controlled drug
MISUSE OF DRUGS ACT 1971 (MD71) S.4(3)(A),Supplying controlled drug - class B - cannabis resin.
MISUSE OF DRUGS ACT 1971 (MD71) S.4(3)(A),Supply a controlled drug - class A - crack cocaine
MISUSE OF DRUGS ACT 1971 (MD71) S.4(3)(A),Supply a controlled drug - class A - methadone
MISUSE OF DRUGS ACT 1971 (MD71) S.4(3)(A),Offer to supply a controlled drug - class A - crack cocaine
MISUSE OF DRUGS ACT 1971 (MD71) S.4(3)(A),Offer to supply a controlled drug - class A - methadone
MISUSE OF DRUGS ACT 1971 (MD71) S.4(3)(A),Offer to supply a controlled drug - class A - cannabis resin
MISUSE OF DRUGS ACT 1971 (MD71) S.4(3)(A),Supply or offer to supply controlled drug - anabolic steroid
MISUSE OF DRUGS ACT 1971 (MD71) S.4(3)(A),Supplying a controlled drug - class C
MISUSE OF DRUGS ACT 1971 (MD71) S.4(3)(A),Offer to supply a controlled drug - class C
MISUSE OF DRUGS ACT 1971 (MD71) S.4(3)(A),Supply controlled drug - class C - anabolic steroids
MISUSE OF DRUGS ACT 1971 (MD71) S.4(3)(A),Offer to supply controlled drug - class C - anabolic steroid
MISUSE OF DRUGS ACT 1971 (MD71) S.4(3)(A),Offer to supply ketamine - class C controlled drug
MISUSE OF DRUGS ACT 1971 (MD71) S.4(3)(A),Supply methyl amphetamine a class A controlled drug
MISUSE OF DRUGS ACT 1971 (MD71) S.4(3)(A),Supply methyl amphetamine a class A controlled drug
MISUSE OF DRUGS ACT 1971 (MD71) S.4(3)(A),Offer to supply methyl amphetamine a class A controlled drug
MISUSE OF DRUGS ACT 1971 (MD71) S.4(3)(A),Offer to supply methyl amphetamine a class a controlled drug
MISUSE OF DRUGS ACT 1971 (MD71) S.4(3)(A),Concerned in offer to supply methyl amphetamine a class A controlled drug
MISUSE OF DRUGS ACT 1971 (MD71) S.4(3)(A),Concerned in offer to supply methyl amphetamine a class A controlled drug
MISUSE OF DRUGS ACT 1971 (MD71) S.4(3)(A),Offer to supply cannabis a class C controlled drug
MISUSE OF DRUGS ACT 1971 (MD71) S.4(3)(A),Supply cannabis resin a class C controlled drug
MISUSE OF DRUGS ACT 1971 (MD71) S.4(3)(A),Offer to supply cannabis resin a class C controlled drug
MISUSE OF DRUGS ACT 1971 (MD71) S.4(3)(A),Supply cannabis a class C controlled drug
MISUSE OF DRUGS ACT 1971 (MD71) S.4(3)(A),Offer to supply a controlled drug - class B - cannabis
MISUSE OF DRUGS ACT 1971 (MD71) S.4(3)(A),Supply a controlled drug - class B - cannabis resin
MISUSE OF DRUGS ACT 1971 (MD71) S.4(3)(A),Offer to supply a controlled drug - class B - cannabis resin
MISUSE OF DRUGS ACT 1971 (MD71) S.4(3)(A),Supply a controlled drug - class B - cannabis
MISUSE OF DRUGS ACT 1971 (MD71) S.4(3)(A),Supply a controlled drug class B - cannabinoid receptor agonists
MISUSE OF DRUGS ACT 1971 (MD71) S.4(3)(A),Supply controlled drug class C - oripavine
MISUSE OF DRUGS ACT 1971 (MD71) S.4(3)(A),Supply a controlled drug - class B - 4-methymethcathinone (mephedrone)
MISUSE OF DRUGS ACT 1971 (MD71) S.4(3)(A),Offer to supply controlled drug - class B -4- methymethcathinone (mephedrone)
MISUSE OF DRUGS ACT 1971 (MD71) S.4(3)(A),Concerned in offer to supply controlled drug - class B - 4-methymethcathinone (mephedrone)
MISUSE OF DRUGS ACT 1971 (MD71) S.4(3)(A)+SCH.4,Supply class C drug - anabolic steroids
MISUSE OF DRUGS ACT 1971 (MD71) S.4(3)(A)+SCH.4,Offer to supply class C drug - anabolic steroid
MISUSE OF DRUGS ACT 1971 (MD71) S.4(3)(A)+SCH.4,Offer to supply cannabis a class C controlled drug
MISUSE OF DRUGS ACT 1971 (MD71) S.4(3)(A)+SCH.4,Supply cannabis resin a class C controlled drug
MISUSE OF DRUGS ACT 1971 (MD71) S.4(3)(A)+SCH.4,Offer to supply cannabis resin a class C drug
MISUSE OF DRUGS ACT 1971 (MD71) S.4(3)(A)+SCH.4,Supply cannabis a class C controlled drug
MISUSE OF DRUGS ACT 1971 (MD71) S.4(3)(B),Being concerned in supplying controlled drug - class B
MISUSE OF DRUGS ACT 1971 (MD71) S.4(3)(B),Being concerned in supplying controlled drug - class B - amphetamine
MISUSE OF DRUGS ACT 1971 (MD71) S.4(3)(B),Being concerned in supplying controlled drug - class B - cannabis
MISUSE OF DRUGS ACT 1971 (MD71) S.4(3)(B),Being concerned in supplying controlled drug - class B - other
MISUSE OF DRUGS ACT 1971 (MD71) S.4(3)(B),Being concerned in supplying controlled drug - class C
MISUSE OF DRUGS ACT 1971 (MD71) S.4(3)(B),Being concerned in supplying controlled drug - class not specified
MISUSE OF DRUGS ACT 1971 (MD71) S.4(3)(B),Being concerned in supply controlled drug - class B - cannabis resin
MISUSE OF DRUGS ACT 1971 (MD71) S.4(3)(B),Concerned in the supply of a controlled drug - class A - crack cocaine
MISUSE OF DRUGS ACT 1971 (MD71) S.4(3)(B),Concerned in the supply of a controlled drug - class A - methadone
MISUSE OF DRUGS ACT 1971 (MD71) S.4(3)(B),Being concerned in supplying controlled drug to another - anabolic steroid
MISUSE OF DRUGS ACT 1971 (MD71) S.4(3)(B),Being concerned in supplying a controlled drug - class C
MISUSE OF DRUGS ACT 1971 (MD71) S.4(3)(B),Being concerned in supplying a controlled drug – class C - anabolic steroids
MISUSE OF DRUGS ACT 1971 (MD71) S.4(3)(B),Being concerned in the supply of ketamine - class C controlled drug
MISUSE OF DRUGS ACT 1971 (MD71) S.4(3)(B),Being concerned in the supply of cannabis a class C controlled drug
MISUSE OF DRUGS ACT 1971 (MD71) S.4(3)(B),Being concerned in the supply of cannabis resin a class C controlled drug
MISUSE OF DRUGS ACT 1971 (MD71) S.4(3)(B),Concerned in the supply of a controlled drug - class B - cannabis
MISUSE OF DRUGS ACT 1971 (MD71) S.4(3)(B),Concerned in the supply of a controlled drug - class B - cannabis resin
MISUSE OF DRUGS ACT 1971 (MD71) S.4(3)(B)+SCH.4,Being concerned in the supply of cannabis a class C controlled drug
MISUSE OF DRUGS ACT 1971 (MD71) S.4(3)(B)+SCH.4,Concerned in the supply of cannabis resin a class C controlled drug
MISUSE OF DRUGS ACT 1971 (MD71) S.4(3)(C),Being concerned in offer to supply controlled drug - class A
MISUSE OF DRUGS ACT 1971 (MD71) S.4(3)(C),Being concerned in offer to supply controlled drug - class A
MISUSE OF DRUGS ACT 1971 (MD71) S.4(3)(C),Being concerned in offer to supply controlled drug - class A - cocaine
MISUSE OF DRUGS ACT 1971 (MD71) S.4(3)(C),Being concerned in offer to supply controlled drug - class A - heroin
MISUSE OF DRUGS ACT 1971 (MD71) S.4(3)(C),Being concerned in offer to supply controlled drug - class A - ISD
MISUSE OF DRUGS ACT 1971 (MD71) S.4(3)(C),Being concerned in offer to supply controlled drug - class A - MDMA
MISUSE OF DRUGS ACT 1971 (MD71) S.4(3)(C),Being concerned in offer to supply controlled drug - class A - other
MISUSE OF DRUGS ACT 1971 (MD71) S.4(3)(C),Being concerned in offer to supply controlled drug - class A
MISUSE OF DRUGS ACT 1971 (MD71) S.4(3)(C),Being concerned in offer to supply controlled drug - class B - amphetamine
MISUSE OF DRUGS ACT 1971 (MD71) S.4(3)(C),Being concerned in offer to supply controlled drug - class B - cannabis
MISUSE OF DRUGS ACT 1971 (MD71) S.4(3)(C),Being concerned in offer to supply controlled drug - class B - other
MISUSE OF DRUGS ACT 1971 (MD71) S.4(3)(C),Being concerned in offer to supply controlled drug - class C
MISUSE OF DRUGS ACT 1971 (MD71) S.4(3)(C),Being concerned in offer to supply controlled drug - class not specified
MISUSE OF DRUGS ACT 1971 (MD71) S.4(3)(C),Concerned in offer to supply a controlled drug - class A - crack cocaine
MISUSE OF DRUGS ACT 1971 (MD71) S.4(3)(C),Concerned in offer to supply a controlled drug - class A - methadone
MISUSE OF DRUGS ACT 1971 (MD71) S.4(3)(C),Concerned in offer to supply a controlled drug - class B - cannabis resin
MISUSE OF DRUGS ACT 1971 (MD71) S.4(3)(C),Being concerned in the making to another of an offer to supply a controlled drug - anabolic steroid
MISUSE OF DRUGS ACT 1971 (MD71) S.4(3)(C),Being concerned in offer to supply a controlled drug - class C
MISUSE OF DRUGS ACT 1971 (MD71) S.4(3)(C),Being concerned in offer to supply a controlled drug - class C - anabolic steroids
MISUSE OF DRUGS ACT 1971 (MD71) S.4(3)(C),Supply ketamine - class C controlled drug
MISUSE OF DRUGS ACT 1971 (MD71) S.4(3)(C),Concerned in making offer to supply to another cannabis resin a class C controlled drug
MISUSE OF DRUGS ACT 1971 (MD71) S.4(3)(C),Being concerned in making of offer to supply to another cannabis a class C controlled drug
MISUSE OF DRUGS ACT 1971 (MD71) S.4(3)(C),Concerned in making an offer to supply to another a controlled drug - class B - cannabis
MISUSE OF DRUGS ACT 1971 (MD71) S.4(3)(C)+SCH.4,Being concerned in making of an offer to supply to another cannabis resin a class C drug
MISUSE OF DRUGS ACT 1971 (MD71) S.4(3)(C)+SCH.4,Being concerned in the making of an offer to supply to another cannabis a class C controlled drug
MISUSE OF DRUGS ACT 1971 (MD71) S.4(3)(C)+SCH.4,Concerned in making an offer to supply another a controlled drug - class B - cannabis resin
MISUSE OF DRUGS ACT 1971 (MD71) S.4(3)(A),Supply controlled drug - class C - gamma-butyrolactone (GBL)
MISUSE OF DRUGS ACT 1971 (MD71) S.4(3)(A),"Supply a controlled drug - class C - 1,4-butanediol (1,4-bd)"
MISUSE OF DRUGS ACT 1971 (MD71) S.4(3)(A),Supply a controlled drug - class C - 1-benzylpiprazine (BZP)
MISUSE OF DRUGS ACT 1971 (MD71) S.4(3)(A),Supply a controlled drug class C - piperazine
MISUSE OF DRUGS ACT 1971 S.5(2),"Possession of controlled class A, B or C drugs "
MISUSE OF DRUGS ACT 1971 S.5(3),"Possession of controlled class A, B or C drugs with intention to supply such drugs"
MISUSE OF DRUGS ACT 1971 S.6(2),Cultivating cannabis plants
MISUSE OF DRUGS ACT 1971 S.8 (A),Occupier of premises knowingly allowing their use for producing/attempting to produce a controlled section 4 drug
MISUSE OF DRUGS ACT 1971 S.8(B),Occupier of premises knowingly allowing their use for supplying/attempting to supply or offering to supply a controlled section 4 drug
MISUSE OF DRUGS ACT 1971S.8(C),Occupier of premises knowingly allowing their use for preparing opium for smoking
MISUSE OF DRUGS ACT 1971 S.8(D),"Occupier of premises knowingly allowing their use for smoking cannabis, cannabis resin or prepared opium"
MISUSE OF DRUGS ACT 1971 S.9,Prohibition of certain activities relating to opium
MISUSE OF DRUGS ACT 1971 S. 11,Breach of dept's directions for safe custody of drugs
MISUSE OF DRUGS ACT 1971 S.12(6),Practitioner or pharmacist convicted of any offence set out in 12(1) prescribing controlled drugs in breach of a prohibition 
MISUSE OF DRUGS ACT 1971 S. 13(3),Practitioner subject to a direction under in 13(1) or (2) prescribing controlled drugs in breach of that prohibition 
MISUSE OF DRUGS ACT 1971 S. 18,"Breach of Regs, breach of licence, false information"
MISUSE OF DRUGS ACT 1971 S.19,Person incites another to commit an offence under the Misuse of Drugs Act 1971
MISUSE OF DRUGS ACT 1971 S.20,Assisting breach of foreign drug laws
MISUSE OF DRUGS ACT 1971 S. 23,Person intentionally obstructs a person exercising Section 23 search powers under the Misuse of Drugs Act 1971
MISUSE OF DRUGS ACT 1971 S.23,Person conceals from a person exercising Section 23 search powers any books/documents. Stock /drugs
MISUSE OF DRUGS ACT 1971 S.23,Person without reasonable excuse fails to produce to a person exercising Section 23 search powers books/documents
NATIONALITY IMMIGRATION AND ASYLUM ACT 2002 (NI02) S.145(1)(A),Arrange/facilitate arrival in UK of person intending to exercise control over prostitution in UK/elsewhere
NATIONALITY IMMIGRATION AND ASYLUM ACT 2002 (NI02) S.145(1)(B),Arrange/facilitate arrival in UK of person believed to exercise control over prostitute in UK/elsewhere
NATIONALITY IMMIGRATION AND ASYLUM ACT 2002 (NI02) S.145(2)(A),Arrange/facilitate travel in UK of person blvd subject S.145 offence w/i exercise control over prostitutes
NATIONALITY IMMIGRATION AND ASYLUM ACT 2002 (NI02) S.145(2)(B),Arrange/facilitate travel in UK of person in belief subject of S.145 offence w/i control over prostitutes
NATIONALITY IMMIGRATION AND ASYLUM ACT 2002 (NI02) S.145(3)(A),Arrange/facilitate departure from UK person intending to exercise control over prostitution outside UK
NATIONALITY IMMIGRATION AND ASYLUM ACT 2002 (NI02) S.145(3)(B),Arrange/facilitate departure from UK of person in belief intends to exercise control over prostitution o/s UK
NAVAL DISCIPLINE ACT SEC 42,Civil offences
NUCLEAR INSTALLATIONS ACT 1965 S.2,Using plutonium or uranium
NUCLEAR MATERIAL (OFFENCES) ACT 1983 SS.1A-2,Using nuclear material for crime/making nuclear threat
NUCLEAR MATERIAL (OFFENCES) ACT 1983 S.2(2),Person  holds/deals in nuclear material intending/ being reckless to cause/ for the purpose of enabling another to cause injury or damage by means of the nuclear material
NUCLEAR MATERIAL (OFFENCES) ACT 1983 S.2(3),Person does an act directed at/ to interfere with a nuclear facility to cause damage by the release of radioactive material
NUCLEAR MATERIAL (OFFENCES) ACT 1983 S.2(4),Person makes a threat to use nuclear material/emission to cause injury/damage or damage to the environment
NUCLEAR MATERIAL (OFFENCES) ACT 1983 S.2(7),Person threatens to use nuclear material to compel a state/ international organisation/person to do an act/abstain from doing an act
OFFENCES AGAINST THE PERSON ACT 1861 S.4,Conspiring or soliciting to commit murder
OFFENCES AGAINST THE PERSON ACT 1861 (OF61) S.16,Threats to kill
OFFENCES AGAINST THE PERSON ACT 1861 (OF61) S.18,Wounding with intent to do grievous bodily harm
OFFENCES AGAINST THE PERSON ACT 1861 (OF61) S.20,Wounding
OFFENCES AGAINST THE PERSON ACT 1861 (OF61) S.21,"Attempt to choke, suffocate or strangle w/i to commit indictable offence"
OFFENCES AGAINST THE PERSON ACT 1861 (OF61) S.21,"Attempting to render insensible, unconscious or incapable of resistance w/i to commit indictable offence"
OFFENCES AGAINST THE PERSON ACT 1861 (OF61) S.22,Using chloroform or other stupefying or overpowering drug or thing to commit indictable offence
OFFENCES AGAINST THE PERSON ACT 1861 (OF61) S.23,Administering poison noxious thing etc so as to endanger life or inflict grievous bodily harm
OFFENCES AGAINST THE PERSON ACT 1861 (OF61) S.23,Administering poison so as to inflict grievous bodily harm
OFFENCES AGAINST THE PERSON ACT 1861 (OF61) S.23,Causing poison to be taken so as to inflict grievous bodily harm
OFFENCES AGAINST THE PERSON ACT 1861 (OF61) S.23,Administering noxious thing so as to endanger life
OFFENCES AGAINST THE PERSON ACT 1861 (OF61) S.23,Causing noxious thing to be taken so as to endanger life
OFFENCES AGAINST THE PERSON ACT 1861 (OF61) S.23,Causing poison to be administered so as to endanger life
OFFENCES AGAINST THE PERSON ACT 1861 (OF61) S.23,Administering noxious thing so as to inflict grievous bodily harm
OFFENCES AGAINST THE PERSON ACT 1861 (OF61) S.23,Causing noxious thing to be taken so as to inflict grievous bodily harm
OFFENCES AGAINST THE PERSON ACT 1861 (OF61) S.24,Administering poison or destructive or noxious thing with intent to injure aggrieve or annoy
OFFENCES AGAINST THE PERSON ACT 1861 (OF61) S.24,Administering poison with intent
OFFENCES AGAINST THE PERSON ACT 1861 (OF61) S.24,Causing poison to be taken with intent
OFFENCES AGAINST THE PERSON ACT 1861 (OF61) S.24,Causing poison to be administered with intent
OFFENCES AGAINST THE PERSON ACT 1861 (OF61) S.24,Administering noxious thing with intent
OFFENCES AGAINST THE PERSON ACT 1861 (OF61) S.24,Causing noxious thing to be taken with intent
OFFENCES AGAINST THE PERSON ACT 1861 (OF61) S.24,Causing noxious thing to be administered with intent
OFFENCES AGAINST THE PERSON ACT 1861 (OF61) S.27,Abandoning child under 2
OFFENCES AGAINST THE PERSON ACT 1861 (OF61) S.28,Causing grievous bodily harm by explosion
OFFENCES AGAINST THE PERSON ACT 1861 (OF61) S.29,Applying destructive or explosive substance w/i to do grievous bodily harm
OFFENCES AGAINST THE PERSON ACT 1861 (OF61) S.30,Placing explosives near building w/i to do bodily injury
OFFENCES AGAINST THE PERSON ACT 1861 (OF61) S.31,Setting traps w/i to cause grievous bodily harm
OFFENCES AGAINST THE PERSON ACT 1861 (OF61) S.32,Interfering with railway w/i to endanger passengers
OFFENCES AGAINST THE PERSON ACT 1861 (OF61) S.33,Interfering with railway carriage w/i to endanger safety
OFFENCES AGAINST THE PERSON ACT 1861 (OF61) S.34,Endangering railway passengers by unlawful act
OFFENCES AGAINST THE PERSON ACT 1861 (OF61) S.35,Causing bodily harm by wanton and furious driving
OFFENCES AGAINST THE PERSON ACT 1861 (OF61) S.35,Causing bodily harm by wanton and furious racing
OFFENCES AGAINST THE PERSON ACT 1861 (OF61) S.35,Causing bodily harm by wilful misconduct when driving
OFFENCES AGAINST THE PERSON ACT 1861 (OF61) S.35,Causing bodily harm by wilful neglect when driving
OFFENCES AGAINST THE PERSON ACT 1861 (OF61) S.37,Assaulting officer preserving wreck
OFFENCES AGAINST THE PERSON ACT 1861  S 42,Common assault/battery committed against a child or young person
OFFENCES AGAINST THE PERSON ACT 1861  S 43,Aggravated assaults on females and boys under 14
OFFENCES AGAINST THE PERSON ACT 1861 (OF61) S.47,Assault occasioning actual bodily harm
OFFENCES AGAINST THE PERSON ACT 1861 (OF61) S.52,Indecent assault on a female or attempt to have carnal knowledge with a girl under 12
OFFENCES AGAINST THE PERSON ACT 1861 S.53,Abducting woman of any age by force  for the sake of her property 
OFFENCES AGAINST THE PERSON ACT 1861 S.53,Adducting  woman of any age by force for marriage or unlawful carnal knowledge
OFFENCES AGAINST THE PERSON ACT 1861 S.54,Abduction woman of any age with intent to marry her or to know her carnally 
OFFENCES AGAINST THE PERSON ACT 1861 S.55,Abduction of unmarried girl under 16 from parent or guardian
OFFENCES AGAINST THE PERSON ACT 1861 S.58,Attempt to procure miscarriage/child destruction
OFFENCES AGAINST THE PERSON ACT 1861 S.59,Supplying poison or instrument for miscarriage
OFFENCES AGAINST THE PERSON ACT 1861 S.61,"Sodomy where the person with whom the offence was committed was under the age of 16, where the offence was committed in England or Wales, or under the age of 17 where the offence was committed in Northern Ireland, or did not consent to the act, in either case"
OFFENCES AGAINST THE PERSON ACT 1861 S.62,Assault with intent to commit buggery
OFFENCES AGAINST THE PERSON ACT 1861 S.64,"Making, having gunpowder, explosive substance or noxious thing w/i to commit offence"
PETTY SESSIONS AND SUMMARY JURISDICTION ACT 1927 S. 63,Wilful and indecent exposure with intent to insult any person
POISONS (NI) ORDER 1976  ARTICLE 5 ,Offences in relation to control of non-medicinal poisons
POLICE (NI) ACT 1998 S.66,"Assaulting, resisting, obstructing  or impeding constable"
PREVENTION OF TERRORISM (TEMPORARY PROVISIONS) ACT 1989 S.9,"Person solicits/invites, lends/makes available, receives/accepts  money/property to be applied/used in the commission of acts of terrorism"
PREVENTION OF TERRORISM (TEMPORARY PROVISIONS) ACT 1989 S.16,Breach of port/border controls in the commission of acts of terrorism
